PROLIFIC_PID	Task	word_1	word_2	word_3	word_4	word_5	word_6	word_7	word_8	word_9	word_10	word_11	word_12	word_13	word_14	word_15	word_16	word_17	word_18	word_19	word_20
6392 28	CFA	upbraid	excoriate	castigate	lambast	berate	chastise	lambaste	scold	admonish	chide	criticize	denounce	decry	deride	denigrate	belittle	disparage	demean	vilify	demonize
6392 29	CFA	prefabrication	prefab	prefabricate	modular	transportable	relocatable	deployable	deploy	deployment	installation	install	instal	construct	build	retrofit	outfit	equip	configure	fit	refit
6392 30	CFA	rebuild	repair	reconstruct	restore	refurbish	refit	renovate	remodel	renovation	refurnish	refurbishment	upgrade	spruce	repaint	redo	redesign	revamp	overhaul	modernize	modernization
6392 32	CFA	lambaste	chide	castigate	criticize	lambast	excoriate	berate	chastise	scold	admonish	upbraid	reprove	reproach	rebuke	assail	denounce	decry	condemn	deplore	bemoan
6392 33	CFA	pretrial	sentence	sentencing	arraignment	arraign	indict	arrest	charge	accuse	convict	jail	detain	imprison	incarcerate	prison	parole	extradite	deport	deportation	extradition
6392 34	CFA	courtier	aristocratic	nobility	aristocrat	noble	gentry	nobleman	aristocracy	prince	royal	monarchs	monarch	monarchy	monarchical	monarchic	imperial	feudal	feudalistic	feudalism	autocracy
6392 35	CFA	petunias	nasturtium	geranium	hydrangea	zinnias	zinnia	aster	phlox	hollyhock	honeysuckle	foxglove	delphinium	primrose	snapdragon	cyclaman	cyclamen	verbena	forsythia	viburnum	perennial
6392 36	CFA	riddle	cryptogram	anagram	palindrome	homonyms	homophone	tilde	umlauts	diacritic	ideogram	loanword	transliteration	transliterate	etymology	cognate	declension	conjugation	plural	possessive	grammatical
6392 37	CFA	guarantee	secure	assure	ensure	safeguard	protect	preserve	maintain	reestablish	strengthen	solidify	enhance	fortify	reinforce	reaffirm	bolster	buttress	undermine	undercut	weaken
6392 38	CFA	uninspired	forgettable	insipid	turgid	unmemorable	bland	unimaginative	unoriginal	unintereste	bore	unexcite	uninspire	unimpressive	lackluster	mediocre	middle	unexceptional	unremarkable	dull	dreary
6392 40	CFA	chairman	chairperson	chairwoman	chair	member	convener	director	executive	president	chief	officer	deputy	secretary	undersecretary	minister	minster	ministry	directorate	department	commissioner
6392 41	CFA	tenacity	perseverance	dedication	devotion	selflessness	kindness	generosity	selfless	compassion	empathy	humility	graciousness	thoughtfulness	humbleness	courage	fortitude	resourcefulness	ingenuity	bravery	heroism
6392 42	CFA	warranteed	warrantie	warranty	rustproofe	undercoat	defroster	defogger	wiper	headlight	taillight	muffler	radiator	carburetor	gasket	valve	nozzle	solenoid	actuator	bushing	bush
6392 43	CFA	wilt	shrivel	wither	sprout	spring	blossom	bloomed	bloom	flower	forsythia	jonquil	honeysuckle	hollyhock	foxglove	nasturtium	delphinium	zinnias	aster	phlox	primrose
6392 44	CFA	salver	tankard	flagon	goblet	chalice	decanter	carafe	bottle	jug	jar	pail	dishpan	dishtowel	dishcloth	trivet	cruet	tureen	demitasse	compote	ladyfinger
6392 45	CFA	ablest	handsome	clever	clumsiest	dumbest	silly	weird	stupid	lame	crazy	cool	strange	scary	oddest	funniest	nice	classy	neat	ugliest	nasty
6392 46	CFA	redistricte	gerrymander	redistrict	redrawn	redrawe	redraw	redrew	reapportion	reapportionment	district	apportionment	apportion	divvy	divvye	divide	split	separate	segregate	assign	allocate
6392 47	CFA	adolescent	adolescence	puberty	adulthood	babyhood	pubescence	pubescent	pimply	preteen	teenage	teen	teenager	kid	child	toddler	preschooler	preschool	kindergarten	elementary	kindergartener
6392 48	CFA	fungus	insect	aphid	beetle	moth	wasp	weevil	mealybug	nematode	thrip	borer	pest	mite	caterpillar	larvae	larva	larval	pupa	pupal	tadpole
6392 49	CFA	dissatisfaction	frustration	discontent	disenchantment	disaffection	resentment	unhappiness	discontentment	disillusionment	disillusion	ambivalence	unease	uneasiness	disquiet	angst	anxiety	anger	disgust	outrage	indignation
6392 50	CFA	unearth	excavate	burie	pummel	clobber	topple	outlast	oust	trounce	beat	thrash	wallop	stun	steamroll	drub	rout	crush	overpower	subdue	upend
6392 51	CFA	total	tally	count	tabulate	tabulation	tabulator	ballot	vote	poll	precinct	voter	elector	electorate	election	electoral	constituency	primary	caucus	presidential	gubernatorial
6392 52	CFA	distract	divert	detract	undermine	jeopardize	threaten	imperil	disrupt	endanger	impede	obstruct	hinder	impair	inhibit	interfere	alter	curtail	restrict	suppresse	stifle
6392 53	CFA	basin	reservoir	aquifer	groundwater	water	wastewater	sewage	sewer	sewerage	effluent	drainage	septic	waterline	hydrant	manhole	culvert	dike	floodplain	wetland	watercourse
6392 54	CFA	societal	society	culture	cultural	multicultural	multiculturalism	pluralism	pluralist	democratic	pluralistic	democracy	democratization	democratize	autocracy	despotism	dictatorship	totalitarianism	totalitarian	fascism	socialism
6392 55	CFA	interrupt	disrupt	halt	curtail	curb	hamper	stymie	thwart	hinder	hamstring	undermine	jeopardize	impede	interfere	sabotage	scuttle	scupper	derail	sidetrack	overshadow
6392 57	CFA	achievement	attainment	accomplishment	success	triumph	victory	win	clinch	defeat	drub	shellac	trounce	rout	thrash	wallop	thump	beat	maul	hammering	drubbing
6392 58	CFA	transcendentalist	transcendentalism	gnosticism	deism	pantheism	pantheistic	immanence	metaphysic	metaphysical	mysticism	mystic	mystical	supernatural	demonic	necromancy	mesmerism	bewitchment	gnostic	transubstantiation	beatitude
6392 59	CFA	prescient	prescience	perspicacity	erudition	eloquence	articulateness	intellect	perceptiveness	irascibility	gregariousness	affability	geniality	amiability	charisma	tirelessness	pugnacity	imperiousness	suavity	impishness	imperturbability
6392 60	CFA	launderer	launder	smuggle	traffic	trafficker	smuggler	gunrunner	gangster	gang	criminal	crook	swindler	scammer	scam	fraud	swindle	scamme	con	defraud	bilk
6392 61	CFA	prom	cotillion	debs	formal	dress	frock	gown	pinafore	muumuus	negligee	nightie	nightgown	shirtwaist	blouse	skirt	cardigan	culotte	legging	camisole	chambray
6392 62	CFA	saver	depositor	bank	lender	borrower	mortgage	loan	lend	borrow	borrowing	indebtedness	repayment	debt	refinance	finance	liquidity	recapitalization	deleverage	equity	investment
6392 63	CFA	showboat	bombastic	bluster	bravado	machismo	manliness	masculinity	femininity	feminine	sexiness	womanliness	womanly	masculine	manly	macho	butch	mannish	butche	androgynous	sexy
6392 64	CFA	imus	yuu	michele	jessie	danielle	lindsay	courtney	lindsey	whitney	jar	becky	lori	kristin	jensen	meyer	nikki	cynthia	nigel	adrian	christine
6392 65	CFA	semiretire	salesman	carpenter	machinist	welder	electrician	mechanic	repairman	technician	handyman	roofer	plumber	tradesman	bricklayer	plasterer	glazi	joiner	upholsterer	cabinetmaker	craftsman
6392 66	CFA	reran	rerun	repeat	airing	primetime	viewership	telecast	air	broadcast	televise	television	televison	tv	televsion	sportscast	newscast	programming	program	cablecast	rebroadcast
6392 67	CFA	populism	nationalism	chauvinism	parochialism	provincialism	elitism	snobbishness	snobbery	pretentiousness	pretension	affectation	pomposity	smugness	pompousness	haughtiness	condescension	hauteur	imperiousness	politesse	grandiloquence
6392 68	CFA	hydrofoil	ferryboat	ferry	boat	vessel	warship	submarine	ship	freighter	tanker	supertanker	cargoe	cargo	freight	shipper	shipping	port	seaport	terminal	airport
6392 69	CFA	reaffirm	affirm	reiterate	emphasize	underline	underlining	stress	underscore	highlight	illustrate	demonstrate	reinforce	validate	confirm	substantiate	vindicate	attest	testament	reflect	exemplify
6392 70	CFA	floss	toothbrush	mouthwash	deodorant	antiperspirant	lotion	moisturizer	moisturize	cleanser	shampoo	cream	astringent	emollient	petrolatum	salicylic	whitener	mouthwashe	dentifrice	depilatory	pomade
6392 71	CFA	kopek	ruble	zloty	euro	kronor	kroner	franc	riyal	dinar	lira	shekel	rupee	pesos	real	yuan	dong	yen	rand	shilling	shill
6392 72	CFA	gateway	hub	destination	mecca	hotbe	epicenter	birthplace	stronghold	heartland	bastion	hotbed	haven	oasis	enclave	outpost	wasteland	backwater	hellhole	shithole	godforsaken
6392 73	CFA	lacey	lacy	frilly	chiffon	taffeta	tulle	bodice	pleat	ruffle	sequin	satin	organdy	shirr	underskirt	shantung	voile	georgette	chambray	poplin	placket
6392 74	CFA	potential	potentiality	possibility	opportunity	untapped	unexplored	undiscovered	unexploite	underdeveloped	undeveloped	unspoile	unspoilt	picturesque	idyllic	tranquil	serene	bucolic	verdant	sylvan	lush
6392 75	CFA	unsteadiness	shakiness	uneasiness	unease	disquiet	unhappiness	discontentment	dissatisfaction	disaffection	disenchantment	discontent	disillusionment	frustration	anger	resentment	indignation	outrage	revulsion	disgust	dismay
6392 76	CFA	woofer	subwoofer	stereo	amplifier	amp	preamplifier	ohm	impedance	inductance	capacitance	resistor	voltage	phototransistor	capacitor	rectifier	diode	transistor	circuitry	oscillator	resonator
6392 77	CFA	duller	quieter	calmer	calm	quiet	serene	pleasant	restful	tranquil	placid	bucolic	sylvan	picturesque	idyllic	verdant	lush	beautiful	gorgeous	lovely	delightful
6392 78	CFA	gravel	asphalt	blacktoppe	roadwork	resurface	stripe	paving	drainage	culvert	roadbe	roadbed	roadway	road	highway	expressway	overpass	viaduct	underpass	roundabout	intersection
6392 79	CFA	comma	apostrophe	semicolon	plural	preposition	gerund	participle	homophone	homonyms	tilde	diacritic	ampersand	possessive	punctuation	grammatical	grammar	syntax	syntactical	adverb	verb
6392 80	CFA	distinction	parallel	comparison	compare	comparable	comparative	comparability	proforma	consolidate	adjust	compute	recalculate	calculation	calculate	approximate	actual	correspond	subtotal	aggregate	extrapolate
6392 81	CFA	os	cpu	usb	linux	osx	nvidia	gpu	cpus	unix	macintosh	microsoft	photoshop	matlab	api	gui	mozilla	netscape	apis	ibm	powerpc
6392 82	CFA	nasally	nasal	adenoidal	quavery	quaver	toneless	sibilant	guttural	throaty	throatier	raspy	breathy	falsetto	vibrato	legato	tremolos	glissandi	glissando	pizzicatos	pizzicato
6392 84	CFA	voyeur	voyeurism	peep	peek	poke	crawl	paw	snuffle	cheep	rustling	chirrup	miaow	mew	meow	whimpering	growl	yelp	yelps	yowl	mewl
6392 85	CFA	fabricator	assembler	molder	manufacturer	supplier	distributor	wholesaler	dealer	importer	exporter	export	import	importation	exportation	transship	shipment	shipping	shipper	freight	cargo
6392 86	CFA	woodchuck	squirrel	fox	skunk	raccoon	rabbit	possum	racoon	critter	coyote	cougar	bobcat	opossum	cat	feline	animal	pet	dog	canine	pooch
6392 87	CFA	slush	snow	snowstorm	snowfall	blizzard	snowy	wintry	icy	wintery	frigid	chilly	balmy	sunny	windy	blustery	drizzly	overcast	muggy	humid	swelter
6392 88	CFA	addax	eland	gemsbok	waterbuck	impala	nyala	antelope	klipspringer	kudu	springbok	wildebeest	rhino	rhinoceros	elephant	tiger	lion	leopard	giraffe	hippos	hippo
6392 89	CFA	ration	atta	ghee	sweetmeat	vada	channa	dalia	ladyfinger	alphonso	matar	sada	hari	aar	kahan	badi	jaan	kab	karna	tarah	kaa
6392 90	CFA	leta	tarah	teri	kahan	karna	kab	aar	roz	jaan	badi	zara	sada	kaa	bua	iya	nyo	salamat	nao	kono	isu
6392 92	CFA	yakking	yack	blab	yammer	prattle	natter	pontificate	bleat	moan	whine	bitch	bellyache	gripe	carp	grumble	grouse	yap	jabber	rant	harangue
6392 93	CFA	admit	acknowledge	say	concede	insist	think	know	understand	realize	believe	see	consider	agree	disagree	dismisse	scoff	downplay	reject	spurn	shun
6392 94	CFA	jolly	trollop	floozie	cad	lecher	nymphomaniac	frump	strumpet	prig	harridan	hussie	minx	puss	temptresse	sluttish	slatternly	floozy	hussy	bimbo	sexpot
6392 95	CFA	unimpaire	impair	interfere	disrupt	inhibit	hinder	undermine	endanger	threaten	jeopardize	impede	imperil	cripple	destroy	deprive	diminish	erode	weaken	strengthen	enhance
6392 96	CFA	suntan	tan	bronze	suntanne	coif	coiffure	mousse	peroxide	lipstick	rouge	bulgy	uncombe	stubbly	lank	droopy	wrinkle	wrinkly	chubby	skinny	blond
6392 97	CFA	or	any	either	not	neither	hardly	never	scarcely	none	no	nothing	nobody	anything	anybody	somebody	something	someone	anyone	everyone	everybody
6392 98	CFA	bureaucracy	bureaucratic	bureacratic	bureaucrat	mandarin	officialdom	commissar	satrap	nomenklatura	elite	plutocrat	oligarch	capitalist	oligarchy	plutocratic	oligarchic	aristocracy	plutocracy	corporatism	corporatist
6392 99	CFA	hilt	shamelessly	blatantly	shameless	blatant	bareface	cynical	dishonest	deceitful	devious	manipulative	venal	duplicitous	mendacious	unprinciple	craven	contemptible	despicable	reprehensible	shameful
6392 100	CFA	reek	stank	stinky	stink	smelly	yucky	yuck	icky	barf	puke	vomit	upchuck	retch	dishrag	clorox	mildewy	moldy	rancid	putrid	filthy
6392 101	CFA	hysteresis	inductance	impedance	capacitance	resistor	voltage	phototransistor	capacitor	diode	rectifier	amplifier	transceiver	programmable	configurable	optimize	switchable	preamplifier	convertor	converter	encoder
6392 102	CFA	fore	gadi	jana	aar	kab	kahan	karna	jaan	badi	tarah	teri	kaa	roz	zara	sada	hein	sab	karo	aag	dil
6392 103	CFA	penitent	absolution	atonement	atone	expiation	abasement	repentance	penance	penitence	contrition	remorse	remorseful	contrite	apologetic	repentant	unrepentant	defiant	chasten	sheepish	abash
6392 105	CFA	legal	lawyer	attorney	solicitor	barrister	counsel	litigator	litigate	litigation	appellate	litigant	plaintiff	defendant	appellant	petitioner	claimant	respondent	complainant	controvert	pleading
6392 106	CFA	motile	testis	ventral	caudal	dorsal	anterior	posterior	maxillary	maxilla	mastoid	ganglion	medulla	papilla	pharyngeal	calculi	duodenal	lymphatic	duodenum	bronchi	pharynx
6392 107	CFA	billionaire	magnate	baron	industrialist	scion	patriarch	heir	mogul	businessman	entrepreneur	tycoon	millionaire	multimillionaire	financier	billionnaire	philanthropist	impresario	bigwig	honcho	exec
6392 108	CFA	chintz	damask	brocade	silk	shantung	satin	chiffon	tulle	taffeta	organdy	voile	shirr	pleat	jacquard	georgette	underskirt	chambray	poplin	sateen	percale
6392 111	CFA	undervalue	underprice	overvalue	overprice	overpay	inflate	overstate	overblown	overestimated	overestimate	exaggerate	underestimate	understate	downplay	underplay	underplayed	overplay	undersell	undersold	misrepresent
6392 112	CFA	lat	ruble	dram	lira	dinar	riyal	shekel	euro	kronor	kroner	franc	zloty	rupee	pesos	real	yuan	dong	yen	rand	shilling
6392 113	CFA	bombay	chennai	india	indian	hyderabad	sonia	gandhi	rajiv	sanjay	mohan	ashok	gupta	krishna	shri	anand	jain	satish	patel	umar	rehman
6392 114	CFA	adjudge	palm	parry	cannon	volley	fizz	flick	deflect	loft	miscue	mistime	mistiming	sky	lob	deflection	crossbar	header	inrushe	onrushe	angle
6392 115	CFA	disavowal	equivocation	temporize	prevarication	dissemble	duplicity	deception	deceit	mendacity	venality	perfidy	shamelessness	arrogance	hypocrisy	cowardice	stupidity	idiocy	foolishness	hubris	folly
6392 116	CFA	belabor	nitpick	quibble	disagree	concur	agree	sympathize	empathize	understand	know	think	suppose	presume	surmise	guess	probably	maybe	hey	anyway	anyways
6392 117	CFA	flotation	fundraising	takeover	merger	acquisition	divestiture	restructuring	restructure	reorganization	consolidation	recapitalization	refinance	repayment	debt	borrowing	indebtedness	borrow	liquidity	deleverage	equity
6392 118	CFA	chaste	celibate	chastely	sexless	loveless	platonic	romantic	romance	romantically	amorously	amorous	lustful	carnal	lascivious	lecherous	sluttish	libidinous	oversexed	lecher	randy
6392 119	CFA	plutonium	nuclear	nuke	atomic	reactor	reprocess	uranium	radioactive	radioactivity	radiation	cesium	tritium	strontium	iodine	arsenic	perchlorate	contaminant	contamination	contaminate	dioxin
6392 120	CFA	destroyer	battleship	warship	frigate	ship	vessel	boat	yacht	catamaran	sloop	trimaran	monohull	sailboat	ketch	yawl	schooner	catboat	dory	windjammer	sail
6392 121	CFA	originate	trace	link	implicate	investigate	probe	examine	scrutinize	evaluate	review	monitor	analyze	study	research	explore	discuss	debate	revisit	reexamine	reevaluate
6392 123	CFA	outside	nearby	neighbor	southern	northwestern	southwestern	northwest	northeastern	southeastern	northern	eastern	northeast	southwest	southeast	westernmost	north	east	south	west	western
6392 124	CFA	halberd	breastplate	broadsword	rapier	sword	scimitar	scabbard	hilt	mace	dagger	spear	knife	machete	cutlass	penknife	pocketknife	screwdriver	crowbar	pickaxe	mattock
6392 125	CFA	eme	rit	nao	issa	jaf	minn	ilu	naf	iya	nyo	isu	iyi	tuo	aar	kab	kahan	karna	tarah	kaa	roz
6392 126	CFA	cavern	underground	tunnel	subterranean	passageway	staircase	stairway	walkway	stairwell	doorway	hallway	vestibule	entryway	entrance	entranceway	archway	courtyard	atrium	foyer	alcove
6392 127	CFA	propellant	oxidizer	propellent	ammonia	chlorine	chemical	solvent	fluorocarbon	halogenate	peroxide	corrosive	hardener	absorbent	sorbent	granulate	thermosette	resin	polymer	polymeric	polyester
6392 128	CFA	implicate	expose	conceal	betray	belie	bespeak	evince	exude	imbue	impart	lend	infuse	suffuse	permeate	pervade	evoke	convey	capture	encapsulate	epitomize
6392 129	CFA	suffragist	feminist	feminism	patriarchy	patriarchal	matriarchal	matriarchy	handmaid	highborn	virtuousness	sybarite	bluestocke	sluttish	slatternly	blowsy	shrewish	harridan	virago	harpy	termagant
6392 131	CFA	funny	witty	humorous	amusing	comical	hilarious	hilariously	unfunny	slapstick	comedic	comedy	satire	parody	spoof	satirical	irreverent	satiric	sardonic	wry	droll
6392 132	CFA	breadbox	matchbox	dinky	tiny	minuscule	small	large	gigantic	humongous	huge	big	massive	gargantuan	monstrous	monster	mammoth	colossal	humungous	enormous	immense
6392 133	CFA	interstice	formlessness	formless	sublimity	effulgence	vivify	immanence	infinitude	fleshly	beatitude	blessedness	fulness	lowliness	littleness	perfection	atman	ananda	oblation	holiness	sanctification
6392 134	CFA	keg	bottle	jug	flask	thermos	pail	jar	can	tin	container	crate	carton	pallet	bin	box	bag	suitcase	valise	gunnysack	tray
6392 135	CFA	ada	iya	nyo	salamat	nao	aar	kab	kahan	karna	jaan	badi	zara	sada	kaa	tarah	teri	roz	hein	sab	kono
6392 136	CFA	undulate	glide	amble	stroll	saunter	meand	meander	mosey	lope	trundle	careen	wander	slink	scurry	scoot	waddle	slither	skitter	prance	sashay
6392 137	CFA	severely	badly	gravely	horribly	dreadfully	wretchedly	terribly	hopelessly	terminally	irredeemably	utterly	hideously	horrendously	appallingly	embarrassingly	shockingly	laughably	ridiculously	absurdly	outrageously
6392 138	CFA	accomodate	accommodate	cater	tailor	customize	personalize	individualize	bespoke	custom	customization	functionality	configurable	optimize	configure	configuration	module	interface	programmable	scalable	integrate
6392 139	CFA	disavow	refute	contradict	rebut	disprove	disproven	debunk	discredit	fallacious	specious	spurious	preposterous	laughable	ridiculous	absurd	ludicrous	asinine	idiotic	moronic	stupid
6392 140	CFA	ace	flunk	acing	math	mathematic	algebra	trigonometry	calculus	arithmetic	algebraic	polynomial	logarithm	integral	mathematical	trigonometric	equation	theorem	mathematician	logician	incommensurability
6392 141	CFA	afterword	afterwards	beforehand	anyway	if	not	anything	nothing	something	what	everything	really	obviously	certainly	definitely	think	maybe	suppose	guess	probably
6392 142	CFA	sue	lawsuit	suit	countersuit	counterclaim	complaint	file	refile	rehear	reconsideration	petition	petitioner	appellant	plaintiff	defendant	attorney	lawyer	counsel	appellate	litigate
6392 143	CFA	deduct	reimburse	pay	receive	withhold	earn	garner	garnered	draw	attract	generate	produce	contribute	reap	get	lose	loos	obtain	acquire	secure
6392 144	CFA	pusher	whacker	dick	asshole	moron	dolt	idiot	jackass	douche	schmuck	bozo	nitwit	scumbag	cretin	nincompoop	buffoon	twit	twerp	dimwit	ignoramus
6392 145	CFA	lori	erin	jar	adrian	nigel	elliott	courtney	whitney	lindsey	jessie	michele	danielle	becky	christina	paula	nikki	joel	megan	lauren	jensen
6392 146	CFA	camouflage	disguise	conceal	hide	lie	falsify	fudge	misrepresent	mislead	deceive	fool	con	trick	suckere	gull	dupe	hoodwink	bamboozle	gullible	delude
6392 147	CFA	nostalgic	nostalgically	fondly	longingly	wistful	wistfully	ruefully	wryly	chuckle	smile	giggle	grin	smirk	laugh	snicker	scowl	glare	wink	stare	gaze
6392 148	CFA	grind	grinder	chipper	grater	weeder	mattock	awl	hacksaw	saw	chainsaw	machete	knife	screwdriver	plier	scissor	clipper	shear	trimmer	mower	lawnmower
6392 149	CFA	purview	remit	statutory	statutorily	statute	law	constitution	constitutionally	constitutional	constituional	unconstitutional	constitutionality	legality	validity	lawfulness	overbreadth	misapprehend	misapplie	exculpate	controvert
6392 150	CFA	controversy	furor	outcry	backlash	firestorm	tempest	brouhaha	furore	uproar	hullabaloo	hubbub	hoopla	hysteria	frenzy	ruckus	rumpus	pandemonium	commotion	consternation	outrage
6392 151	CFA	foreground	elide	obfuscate	dissemble	falsifie	misapplie	misrepresent	misunderstand	disregard	misstate	distort	undermine	undercut	ignore	contradict	refute	debunk	rebut	reject	deny
6392 152	CFA	imbalance	disparity	inequity	inequality	injustice	wrong	wrongdoing	abuse	atrocity	massacre	genocide	holocaust	brutality	cruelty	horror	travesty	inhumanity	enormity	barbarity	savagery
6392 153	CFA	grizzly	wolf	moose	caribou	elk	bison	deer	pheasant	waterfowl	bird	geese	mallard	swan	duck	cormorant	gull	pelican	seabird	gannet	puffin
6392 154	CFA	innard	maw	entrail	carcass	corpse	body	dead	decapitate	mutilate	dismember	strangle	asphyxiate	suffocate	bludgeon	stab	knife	assault	rape	murder	abduct
6392 155	CFA	blurt	stammer	mutter	mumble	murmur	whisper	sigh	exclaim	chuckle	smirk	grin	laugh	giggle	smile	blush	cackle	holler	scream	bellow	yell
6392 156	CFA	amorously	inamorata	lecher	sluttish	lech	strumpet	floozy	slatternly	floozie	dipsomaniac	flibbertigibbet	shrewish	harridan	harpy	virago	termagant	blowsy	blowzy	vixenish	sexpot
6392 157	CFA	respectively	respective	various	multiple	vary	different	divergent	differ	diverge	conflict	contradictory	contradict	contrast	dissimilar	similar	identical	similiar	same	distinct	separate
6392 158	CFA	dignity	dignify	humane	humanely	compassionately	compassionate	care	considerate	courteous	conscientious	attentive	empathetic	thoughtful	tactful	polite	mannerly	mannere	respectful	gracious	personable
6392 159	CFA	energy	impel	transfigure	fleshly	vivify	immanence	beatitude	blessedness	fulness	lowliness	littleness	sublimity	effulgence	formlessness	endlessness	infinitude	pantheistic	pantheism	gnosticism	transcendentalism
6392 160	CFA	forum	symposium	seminar	colloquium	lecture	keynote	presentation	workshop	webinar	webcast	teleconference	conference	briefing	meet	luncheon	banquet	dinner	brunch	breakfast	lunch
6392 161	CFA	problem	deficiency	failing	inadequacy	failure	shortcoming	weakness	lapse	flaw	shortcome	inconsistency	ineffectiveness	ineptness	ineptitude	incompetence	inefficiency	mismanagement	malfeasance	dishonesty	venality
